Department	em_votes	em_pct	mlp_votes	mlp_pct	ff_votes	ff_pct	jlm_votes	jlm_pct	bh_votes	bh_pct	nda_votes	nda_pct	jl_votes	jl_pct	pp_votes	pp_pct	fa_votes	fa_pct	na_votes	na_pct	jc_votes	jc_pct
Haut-Rhin	79798	19.76	109704	27.16	90237	22.34	57856	14.32	18694	4.63	28562	7.07	5004	1.24	4727	1.17	5217	1.29	3101	0.77	1010	0.25
Rhône	236137	26.58	144476	16.26	205781	23.16	175051	19.70	60094	6.76	38429	4.33	6703	0.75	7146	0.80	9188	1.03	4061	0.46	1446	0.16
Haute-Saône	27332	19.59	43753	31.36	25184	18.05	22150	15.88	6596	4.73	8176	5.86	1512	1.08	2021	1.45	1206	0.86	1325	0.95	267	0.19
Saône-et-Loire	69212	22.33	75258	24.28	60100	19.39	55249	17.83	19184	6.19	18961	6.12	3153	1.02	3588	1.16	2535	0.82	2201	0.71	510	0.16
Sarthe	64618	20.04	67083	20.80	92261	28.61	56851	17.63	17195	5.33	13657	4.24	2141	0.66	3565	1.11	2074	0.64	2452	0.76	547	0.17
Savoie	55871	23.13	52448	21.71	50815	21.04	45013	18.63	13752	5.69	13673	5.66	3152	1.30	2578	1.07	2608	1.08	1219	0.50	430	0.18
Haute-Savoie	100174	24.23	77919	18.84	105057	25.41	67079	16.22	21805	5.27	24785	5.99	4649	1.12	4263	1.03	5021	1.21	1919	0.46	827	0.20
Paris	375006	34.83	53719	4.99	284744	26.45	210548	19.56	109550	10.18	17997	1.67	5490	0.51	6799	0.63	8337	0.77	2897	0.27	1472	0.14
Seine-Maritime	145756	21.23	170945	24.90	118336	17.24	152394	22.20	41516	6.05	33036	4.81	4383	0.64	8321	1.21	5205	0.76	5356	0.78	1278	0.19
Seine-et-Marne	157314	23.11	155521	22.85	120968	17.77	141827	20.84	38772	5.70	41505	6.10	5182	0.76	6354	0.93	8195	1.20	3706	0.54	1247	0.18
Yvelines	219063	28.86	98024	12.92	206835	27.25	126345	16.65	52564	6.93	32906	4.34	5371	0.71	5448	0.72	8148	1.07	2872	0.38	1358	0.18
Deux-Sèvres	57826	26.97	38640	18.02	40195	18.75	41609	19.41	14950	6.97	11356	5.30	2599	1.21	3483	1.62	1478	0.69	1869	0.87	393	0.18
Somme	69520	21.75	97081	30.37	51834	16.22	59491	18.61	14260	4.46	15462	4.84	2365	0.74	3661	1.15	2272	0.71	3111	0.97	579	0.18
Tarn	51755	22.14	52402	22.42	41052	17.56	48094	20.57	15530	6.64	11440	4.89	7105	3.04	2721	1.16	1822	0.78	1397	0.60	439	0.19
Tarn-et-Garonne	30319	20.65	39183	26.69	25992	17.71	27841	18.97	8567	5.84	7233	4.93	3660	2.49	1573	1.07	1337	0.91	830	0.57	266	0.18
Var	108597	17.73	186376	30.43	152316	24.87	94184	15.38	21089	3.44	29177	4.76	6933	1.13	4655	0.76	5860	0.96	2274	0.37	977	0.16
Vaucluse	58208	18.52	95930	30.53	59619	18.97	60852	19.37	13553	4.31	14452	4.60	3989	1.27	2804	0.89	2890	0.92	1388	0.44	543	0.17
Vendée	109989	26.26	77590	18.53	106804	25.50	63156	15.08	21356	5.10	24211	5.78	3810	0.91	5219	1.25	2705	0.65	3294	0.79	696	0.17
Vienne	59146	24.88	47024	19.78	42703	17.96	49061	20.64	16861	7.09	11920	5.01	2861	1.20	3642	1.53	1896	0.80	2074	0.87	560	0.24
Haute-Vienne	55577	26.67	37937	18.20	32522	15.60	46549	22.33	16136	7.74	9285	4.46	3518	1.69	3044	1.46	1557	0.75	1850	0.89	440	0.21
Vosges	43604	19.86	63924	29.12	39579	18.03	36524	16.64	10887	4.96	14323	6.53	2750	1.25	3229	1.47	2223	1.01	2004	0.91	455	0.21
Yonne	36234	19.63	52640	28.52	36739	19.91	30815	16.70	8846	4.79	11668	6.32	1987	1.08	2128	1.15	1775	0.96	1380	0.75	341	0.18
Territoire de Belfort	14771	20.64	19249	26.89	12668	17.70	13672	19.10	4189	5.85	3770	5.27	669	0.93	886	1.24	941	1.31	592	0.83	167	0.23
Essonne	163389	26.21	102461	16.43	112478	18.04	136392	21.88	42072	6.75	44793	7.18	4468	0.72	5755	0.92	7514	1.21	2924	0.47	1241	0.20
Hauts-de-Seine	256687	32.30	60731	7.64	231553	29.14	145289	18.28	57114	7.19	21359	2.69	4747	0.60	5033	0.63	8453	1.06	2447	0.31	1345	0.17
Seine-Saint-Denis	130103	24.04	73534	13.59	69063	12.76	184123	34.02	45506	8.41	16601	3.07	3160	0.58	6050	1.12	8739	1.61	3235	0.60	1088	0.20
Val-de-Marne	172202	28.33	69878	11.50	122814	20.21	149112	24.53	47228	7.77	26252	4.32	3957	0.65	5226	0.86	7303	1.20	2749	0.45	1066	0.18
Val-d'Oise	138752	25.31	94158	17.18	101131	18.45	131342	23.96	37518	6.84	24790	4.52	3975	0.73	5040	0.92	7702	1.41	2752	0.50	978	0.18
Guadeloupe	33930	30.23	15159	13.51	16305	14.53	27081	24.13	11165	9.95	2042	1.82	650	0.58	2300	2.05	1312	1.17	1972	1.76	326	0.29
Martinique	27893	25.53	11949	10.94	18400	16.84	29903	27.37	10661	9.76	2338	2.14	870	0.80	3217	2.94	1407	1.29	2253	2.06	373	0.34
French Guiana	5031	18.75	6521	24.30	3935	14.66	6633	24.71	1529	5.70	472	1.76	273	1.02	1405	5.23	480	1.79	462	1.72	98	0.37
Réunion	66292	18.91	82219	23.46	60508	17.26	85987	24.53	26872	7.67	10123	2.89	1939	0.55	4377	1.25	6029	1.72	5190	1.48	944	0.27
Mayotte	6364	19.21	9008	27.19	10808	32.62	2789	8.42	1434	4.33	1019	3.08	182	0.55	621	1.87	408	1.23	334	1.01	163	0.49
New Caledonia	11089	12.75	25290	29.09	27065	31.13	7703	8.86	8125	9.34	2521	2.90	695	0.80	1284	1.48	2098	2.41	836	0.96	240	0.28
French Polynesia	11119	14.70	24604	32.54	26679	35.28	5952	7.87	2203	2.91	1767	2.34	447	0.59	755	1.00	1206	1.59	689	0.91	201	0.27
Saint Pierre and Miquelon	473	17.97	478	18.16	261	9.92	933	35.45	217	8.24	79	3.00	54	2.05	64	2.43	36	1.37	28	1.06	9	0.34
Wallis and Futuna	1630	30.48	380	7.11	1526	28.53	192	3.59	1349	25.22	79	1.48	29	0.54	41	0.77	50	0.93	54	1.01	18	0.34
Saint Martin/Saint Barthélemy	1572	19.99	1834	23.32	2518	32.02	1153	14.66	247	3.14	216	2.75	68	0.86	92	1.17	112	1.42	35	0.45	18	0.23
French residents overseas	223879	40.40	35926	6.48	145829	26.32	87692	15.83	38092	6.87	8837	1.59	2530	0.46	3414	0.62	5578	1.01	1312	0.24	1030	0.19
Total	8656346	24.01	7678491	21.30	7212995	20.01	7059951	19.58	2291288	6.36	1695000	4.70	435301	1.21	394505	1.09	332547	0.92	232384	0.64	65586	0.18
